Course Code,Course Title,HEI,CATEGORY (ISCED Description),R1 Points
CK108,Arts International - 4 years,University College Cork (NUI),Languages,440
CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),Languages,367
CK110,World Languages,University College Cork (NUI),Languages,488
CK111,Early Years and Childhood Studies,University College Cork (NUI),Welfare,409
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),Arts,371
CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),Social and behavioural sciences,464
CK114,Social Science (Youth and Community Work),University College Cork (NUI),Welfare,#
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),University College Cork (NUI),Arts,347
CK120,Applied Psychology,University College Cork (NUI),Social and behavioural sciences,544
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),University College Cork (NUI),Social and behavioural sciences,499
CK122,Government and Political Science,University College Cork (NUI),Social and behavioural sciences,399
CK123,Anthropology,University College Cork (NUI),Humanities (except languages),308
CK124,Education - Gaeilge,University College Cork (NUI),Education,473
CK125,Sports Studies and Physical Education,University College Cork (NUI),Education,564
CK201,Commerce,University College Cork (NUI),Business and administration,500
CK202,Accounting,University College Cork (NUI),Business and administration,553
CK203,Business Information Systems,University College Cork (NUI),Information and Communication Technologies (ICTs),455
CK204,Finance,University College Cork (NUI),Business and administration,566
CK205,Commerce (International) with French,University College Cork (NUI),Business and administration,465
CK206,Commerce (International) with German,University College Cork (NUI),Business and administration,466
CK207,Commerce (International) with Italian,University College Cork (NUI),Business and administration,423
CK208,Commerce (International) with Hispanic Studies,University College Cork (NUI),Business and administration,488
CK209,Commerce (International) with Irish,University College Cork (NUI),Business and administration,507
CK211,Commerce (International) with Chinese Studies,University College Cork (NUI),Business and administration,385
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,University College Cork (NUI),Social and behavioural sciences,445
CK213,Food Marketing and Entrepreneurship,University College Cork (NUI),Business and administration,466
CK214,International Development,University College Cork (NUI),Social and behavioural sciences,332
