Course Code,Course Title,HEI Code,HEI,ISCED,R1 Points,Year
AL870,Applied Psychology,AL,Athlone Institute of Technology,Social and behavioural sciences,484,2021
CW018,Business (options),CW,"Institute of Technology, Carlow",Business and administration,307,2021
CW028,Early Childhood Education and Care,CW,"Institute of Technology, Carlow",Welfare,260,2021
CW038,Art (portfolio),CW,"Institute of Technology, Carlow",Arts,#700,2021
CW058,Tourism and Event Management,CW,"Institute of Technology, Carlow",Personal services,292,2021
CW068,Applied Social Studies in Professional Social Care,CW,"Institute of Technology, Carlow",Welfare,250,2021
CW078,Sustainable Farm Management and Agribusiness,CW,"Institute of Technology, Carlow",Agriculture,270,2021
CW088,Visual Communications and Design,CW,"Institute of Technology, Carlow",Arts,270,2021
CW108,Science (options),CW,"Institute of Technology, Carlow",Biological and related sciences,266,2021
CW128,Brewing and Distilling,CW,"Institute of Technology, Carlow",Manufacturing and processing,307,2021
CW138,Sport and Exercise Science,CW,"Institute of Technology, Carlow",Personal services,430,2021
CW148,Strength and Conditioning,CW,"Institute of Technology, Carlow",Personal services,388,2021
CW188,Sport Rehabilitation and Athletic Therapy,CW,"Institute of Technology, Carlow",Health,451,2021
CW208,Computer Games Development,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),272,2021
CW238,Software Development,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),295,2021
CW248,Information Technology Management,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),293,2021
CW258,Cybercrime and IT Security,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),292,2021
CW268,Computing in Interactive Digital Art and Design,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),291,2021
CW438,Construction (options),CW,"Institute of Technology, Carlow",Architecture and construction,260,2021
CW468,Architectural Technology,CW,"Institute of Technology, Carlow",Architecture and construction,291,2021
CW478,Civil Engineering,CW,"Institute of Technology, Carlow",Architecture and construction,465,2021
CW548,Mechanical Engineering,CW,"Institute of Technology, Carlow",Engineering and engineering trades,330,2021
CW558,Electronic Systems,CW,"Institute of Technology, Carlow",Engineering and engineering trades,280,2021
CW568,Aerospace Engineering,CW,"Institute of Technology, Carlow",Engineering and engineering trades,371,2021
CW578,TV and Media Production,CW,"Institute of Technology, Carlow",Arts,318,2021
CW708,Law - LLB,CW,"Institute of Technology, Carlow",Law,292,2021
CW728,Product Design Innovation,CW,"Institute of Technology, Carlow",Arts,246,2021
CW748,Early Childhood Education and Care,CW,"Institute of Technology, Carlow",Welfare,290,2021
CW758,Professional Social Care Practice,CW,"Institute of Technology, Carlow",Welfare,360,2021
CW808,Media and Public Relations,CW,"Institute of Technology, Carlow",Business and administration,247,2021
CW848,Digital Marketing with Analytics,CW,"Institute of Technology, Carlow",Business and administration,269,2021
CW858,"Sports Management and Coaching (options, portfolio)",CW,"Institute of Technology, Carlow",Personal services,700,2021
CW908,Business (options),CW,"Institute of Technology, Carlow",Business and administration,272,2021
CW938,Business with Law,CW,"Institute of Technology, Carlow",Business and administration,270,2021
CW948,Accounting,CW,"Institute of Technology, Carlow",Business and administration,319,2021
PC405,"Social, Political and Community Studies",PC,"Carlow College, St. Patrick`s",Social and behavioural sciences,263,2021
PC410,Arts and Humanities (fulfils Teaching Council requirements),PC,"Carlow College, St. Patrick`s",Humanities (except languages),262,2021
PC411,English and History (fulfils Teaching Council requirements),PC,"Carlow College, St. Patrick`s",Humanities (except languages),243,2021
CR105,Chemical and Biopharmaceutical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,443,2021
CR106,Software Development,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),431,2021
CR108,Mechanical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,434,2021
CR109,Structural Engineering,CR,Cork Institute of Technology,Architecture and construction,396,2021
CR110,Automotive Business Management and Technology,CR,Cork Institute of Technology,Transport services,336,2021
CR112,Creative Digital Media at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,Arts,390,2021
CR116,Computer Systems,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),365,2021
CR121,Music at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,904,2021
CR125,Popular Music at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,1028,2021
CR130,Musical Theatre at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,525,2021
CR150,Business Information Systems,CR,Cork Institute of Technology,Business and administration,350,2021
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR,Cork Institute of Technology,Arts,450,2021
CR220,Fine Art at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,Arts,400,2021
CR225,Photography with New Media at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,Arts,435,2021
CR305,Physical Sciences (Common Entry),CR,Cork Institute of Technology,Physical sciences,260,2021
CR310,IT Management,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),347,2021
CR320,Biomedical Science - Offered jointly by CIT and UCC,CR,Cork Institute of Technology,Biological and related sciences,590,2021
CR325,Pharmaceutical Biotechnology,CR,Cork Institute of Technology,Biological and related sciences,466,2021
CR333,Nutrition and Health Science,CR,Cork Institute of Technology,Health,425,2021
CR335,Biological Sciences (Common Entry),CR,Cork Institute of Technology,Biological and related sciences,473,2021
CR340,Analytical Chemistry with Quality Assurance,CR,Cork Institute of Technology,Physical sciences,327,2021
CR360,Instrument Engineering,CR,Cork Institute of Technology,Physical sciences,301,2021
CR365,Environmental Science and Sustainable Technology,CR,Cork Institute of Technology,Environment,262,2021
CR370,Agri-Biosciences,CR,Cork Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",368,2021
CR400,Accounting,CR,Cork Institute of Technology,Business and administration,315,2021
CR420,Marketing,CR,Cork Institute of Technology,Business and administration,290,2021
CR425,International Business with Language,CR,Cork Institute of Technology,Business and administration,279,2021
CR430,Sport and Exercise Management,CR,Cork Institute of Technology,Personal services,402,2021
CR440,Montessori Education,CR,Cork Institute of Technology,Education,409,2021
CR500,Engineering (Common Entry),CR,Cork Institute of Technology,Engineering and engineering trades,475,2021
CR510,Sustainable Energy Engineering,CR,Cork Institute of Technology,Environment,320,2021
CR520,Biomedical Engineering,CR,Cork Institute of Technology,Health,444,2021
CR560,Architectural Technology,CR,Cork Institute of Technology,Architecture and construction,375,2021
CR565,Interior Architecture,CR,Cork Institute of Technology,Architecture and construction,431,2021
CR570,Quantity Surveying,CR,Cork Institute of Technology,Architecture and construction,375,2021
CR572,Construction Management,CR,Cork Institute of Technology,Architecture and construction,300,2021
CR580,Electrical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,342,2021
CR590,Electronic Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,329,2021
CR600,Visual Communications at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,Arts,280,2021
CR660,Tourism Management,CR,Cork Institute of Technology,Personal services,246,2021
CR700,Theatre and Drama Studies at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,609,2021
CR930,Home Economics and Business,CR,Cork Institute of Technology,Education,518,2021
CK101,Arts - 3 years,CK,University College Cork (NUI),Arts,300,2021
CK102,Social Science,CK,University College Cork (NUI),Social and behavioural sciences,434,2021
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK,University College Cork (NUI),Arts,339,2021
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Arts,421,2021
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),Humanities (except languages),312,2021
CK108,Arts International - 4 years,CK,University College Cork (NUI),Languages,440,2021
CK109,English - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Languages,367,2021
CK110,World Languages,CK,University College Cork (NUI),Languages,488,2021
CK111,Early Years and Childhood Studies,CK,University College Cork (NUI),Welfare,409,2021
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),Arts,371,2021
CK113,Criminology - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Social and behavioural sciences,464,2021
CK114,Social Science (Youth and Community Work),CK,University College Cork (NUI),Welfare,#,2021
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK,University College Cork (NUI),Arts,347,2021
CK120,Applied Psychology,CK,University College Cork (NUI),Social and behavioural sciences,544,2021
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK,University College Cork (NUI),Social and behavioural sciences,499,2021
CK122,Government and Political Science,CK,University College Cork (NUI),Social and behavioural sciences,399,2021
CK123,Anthropology,CK,University College Cork (NUI),Humanities (except languages),308,2021
CK124,Education - Gaeilge,CK,University College Cork (NUI),Education,473,2021
CK125,Sports Studies and Physical Education,CK,University College Cork (NUI),Education,564,2021
CK201,Commerce,CK,University College Cork (NUI),Business and administration,500,2021
CK202,Accounting,CK,University College Cork (NUI),Business and administration,553,2021
CK203,Business Information Systems,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),455,2021
CK204,Finance,CK,University College Cork (NUI),Business and administration,566,2021
CK205,Commerce (International) with French,CK,University College Cork (NUI),Business and administration,465,2021
CK206,Commerce (International) with German,CK,University College Cork (NUI),Business and administration,466,2021
CK207,Commerce (International) with Italian,CK,University College Cork (NUI),Business and administration,423,2021
CK208,Commerce (International) with Hispanic Studies,CK,University College Cork (NUI),Business and administration,488,2021
CK209,Commerce (International) with Irish,CK,University College Cork (NUI),Business and administration,507,2021
CK211,Commerce (International) with Chinese Studies,CK,University College Cork (NUI),Business and administration,385,2021
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK,University College Cork (NUI),Social and behavioural sciences,445,2021
CK213,Food Marketing and Entrepreneurship,CK,University College Cork (NUI),Business and administration,466,2021
CK214,International Development,CK,University College Cork (NUI),Social and behavioural sciences,332,2021
CK301,Law (Pathways) -  3 or 4 years,CK,University College Cork (NUI),Law,533,2021
CK302,Law and French,CK,University College Cork (NUI),Law,545,2021
CK304,Law and Irish,CK,University College Cork (NUI),Law,588,2021
CK307,Law and Business,CK,University College Cork (NUI),Law,589,2021
CK401,Computer Science,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),503,2021
CK402,Biological and Chemical Sciences,CK,University College Cork (NUI),Biological and related sciences,555,2021
CK404,"Biological, Earth and Environmental Sciences",CK,University College Cork (NUI),Biological and related sciences,500,2021
CK405,Genetics,CK,University College Cork (NUI),Biological and related sciences,543,2021
CK406,Chemical Sciences,CK,University College Cork (NUI),Physical sciences,532,2021
CK407,Mathematical Sciences,CK,University College Cork (NUI),Mathematics and statistics,566,2021
CK408,Physics and Astrophysics,CK,University College Cork (NUI),Physical sciences,566,2021
CK409,Industrial Physics - Offered jointly by UCC and CIT,CK,University College Cork (NUI),Physical sciences,465,2021
CK411,Data Science and Analytics,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),531,2021
CK412,Agricultural Science,CK,University College Cork (NUI),Agriculture,506,2021
CK504,Nutritional Sciences,CK,University College Cork (NUI),Biological and related sciences,555,2021
CK505,Food Science,CK,University College Cork (NUI),Manufacturing and processing,463,2021
CK600,Engineering,CK,University College Cork (NUI),Engineering and engineering trades,510,2021
CK606,Architecture - Offered jointly by UCC and CIT,CK,University College Cork (NUI),Architecture and construction,543,2021
CK701,Medicine (Undergraduate Entry - HPAT required),CK,University College Cork (NUI),Health,738,2021
CK702,Dentistry,CK,University College Cork (NUI),Health,625,2021
CK703,Pharmacy,CK,University College Cork (NUI),Health,613,2021
CK704,Occupational Therapy,CK,University College Cork (NUI),Health,601,2021
CK705,Speech and Language Therapy,CK,University College Cork (NUI),Health,568,2021
CK706,Public Health Sciences,CK,University College Cork (NUI),Health,500,2021
CK707,Medical and Health Sciences,CK,University College Cork (NUI),Health,578,2021
CK710,General Nursing,CK,University College Cork (NUI),Health,498,2021
CK712,Children`s and General Nursing (Integrated),CK,University College Cork (NUI),Health,565,2021
CK720,Mental Health Nursing,CK,University College Cork (NUI),Health,455,2021
CK730,Intellectual Disability Nursing,CK,University College Cork (NUI),Health,431,2021
CK740,Midwifery,CK,University College Cork (NUI),Health,509,2021
CK791,Medicine  - Graduate Entry (GAMSAT required),CK,University College Cork (NUI),Health,60,2021
AC120,International Business,AC,American College,Business and administration,294,2021
AC137,Liberal Arts,AC,American College,Humanities (except languages),271,2021
CT125,Computing and IT,CT,CCT College Dublin,Information and Communication Technologies (ICTs),242,2021
CT325,Business,CT,CCT College Dublin,Business and administration,253,2021
CM001,Education - Primary Teaching,CM,Marino Institute of Education,Education,508,2021
CM002,Education - Primary Teaching - Gaeltacht Applicants,CM,Marino Institute of Education,Education,462,2021
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,CM,Marino Institute of Education,Education,513,2021
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),CM,Marino Institute of Education,Education,480,2021
CM010,Education Studies,CM,Marino Institute of Education,Education,382,2021
CM020,Early Childhood Education,CM,Marino Institute of Education,Education,317,2021
DB500,Computing,DB,Dublin Business School,Information and Communication Technologies (ICTs),234,2021
DB502,Computing (Data Analytics and Big Data),DB,Dublin Business School,Information and Communication Technologies (ICTs),267,2021
DB510,Audio Production and Music Project Management,DB,Dublin Business School,Arts,217,2021
DB512,Business Studies,DB,Dublin Business School,Business and administration,243,2021
DB514,Business Studies (Law),DB,Dublin Business School,Business and administration,239,2021
DB515,Business Studies (Human Resource Management),DB,Dublin Business School,Business and administration,242,2021
DB517,Marketing (Event Management),DB,Dublin Business School,Business and administration,233,2021
DB518,Marketing (Digital Media),DB,Dublin Business School,Business and administration,307,2021
DB521,Accounting and Finance,DB,Dublin Business School,Business and administration,243,2021
DB524,Business (Information Systems),DB,Dublin Business School,Information and Communication Technologies (ICTs),247,2021
DB525,Marketing (Digital Media and Cloud Computing),DB,Dublin Business School,Business and administration,288,2021
DB526,Business (Cloud Computing),DB,Dublin Business School,Information and Communication Technologies (ICTs),244,2021
DB527,Applied Social Care,DB,Dublin Business School,Social and behavioural sciences,254,2021
DB531,Marketing,DB,Dublin Business School,Business and administration,288,2021
DB562,Psychology,DB,Dublin Business School,Social and behavioural sciences,244,2021
DB566,Social Science,DB,Dublin Business School,Social and behavioural sciences,262,2021
DB567,Film and Creative Media,DB,Dublin Business School,Arts,245,2021
DB568,Law,DB,Dublin Business School,Law,254,2021
DB569,Business (Psychology),DB,Dublin Business School,Business and administration,240,2021
DC001,Education - Early Childhood Education,DC,Dublin City University,Education,445,2021
DC002,Education - Primary Teaching,DC,Dublin City University,Education,518,2021
DC003,Education - Primary Teaching - Gaeltacht Applicants,DC,Dublin City University,Education,489,2021
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC,Dublin City University,Education,451,2021
DC009,Arts (Joint Honours) - Humanities,DC,Dublin City University,Arts,356,2021
DC010,Post Primary Teacher Education - Religious Education and English,DC,Dublin City University,Education,384,2021
DC011,Post Primary Teacher Education - Religious Education and History,DC,Dublin City University,Education,409,2021
DC012,Post Primary Teacher Education - Religious Education and Music,DC,Dublin City University,Education,409,2021
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC,Dublin City University,Education,413,2021
DC014,BA in Jazz and Contemporary Music Performance (audition),DC,Dublin City University,Arts,311,2021
DC110,Business Studies International,DC,Dublin City University,Business and administration,498,2021
DC111,Business Studies,DC,Dublin City University,Business and administration,511,2021
DC112,Global Business (France),DC,Dublin City University,Business and administration,542,2021
DC113,Global Business (Germany),DC,Dublin City University,Business and administration,484,2021
DC114,Global Business (Spain),DC,Dublin City University,Business and administration,544,2021
DC115,Accounting and Finance,DC,Dublin City University,Business and administration,544,2021
DC116,Global Business (USA),DC,Dublin City University,Business and administration,613,2021
DC117,Aviation Management / Aviation Management with Pilot Studies,DC,Dublin City University,Business and administration,484,2021
DC118,Gnó agus Gaeilge / Business and Irish,DC,Dublin City University,Business and administration,368,2021
DC119,Global Business (Canada),DC,Dublin City University,Business and administration,601,2021
DC120,Computing for Business,DC,Dublin City University,Information and Communication Technologies (ICTs),403,2021
DC121,Computer Science,DC,Dublin City University,Information and Communication Technologies (ICTs),475,2021
DC123,Data Science,DC,Dublin City University,Information and Communication Technologies (ICTs),501,2021
DC126,Actuarial Mathematics,DC,Dublin City University,Mathematics and statistics,577,2021
DC127,Common Entry into Actuarial and Financial Mathematics,DC,Dublin City University,Mathematics and statistics,541,2021
DC131,Communication Studies,DC,Dublin City University,Journalism and information,421,2021
DC132,Journalism,DC,Dublin City University,Journalism and information,452,2021
DC133,Multimedia,DC,Dublin City University,Arts,435,2021
DC155,Applied Language and Translation Studies,DC,Dublin City University,Languages,427,2021
DC161,Analytical Science,DC,Dublin City University,Physical sciences,498,2021
DC162,Chemical and Pharmaceutical Sciences,DC,Dublin City University,Physical sciences,531,2021
DC163,Chemical Sciences General Entry (Undenominated Entry),DC,Dublin City University,Physical sciences,466,2021
DC166,Environmental Science and Technology,DC,Dublin City University,Environment,423,2021
DC168,Genetics and Cell Biology,DC,Dublin City University,Biological and related sciences,543,2021
DC175,Physics General Entry (options),DC,Dublin City University,Physical sciences,400,2021
DC180,Biological Sciences General Entry (Undenominated Entry),DC,Dublin City University,Biological and related sciences,530,2021
DC181,Biotechnology,DC,Dublin City University,Biological and related sciences,530,2021
DC190,Electronic and Computer Engineering (with choice of four majors),DC,Dublin City University,Engineering and engineering trades,488,2021
DC193,Mechatronic Engineering,DC,Dublin City University,Engineering and engineering trades,490,2021
DC194,Sustainable Systems and Energy,DC,Dublin City University,Environment,476,2021
DC195,Mechanical and Manufacturing Engineering,DC,Dublin City University,Engineering and engineering trades,500,2021
DC197,Biomedical Engineering,DC,Dublin City University,Health,510,2021
DC200,Common Entry into Engineering (Undenominated Entry),DC,Dublin City University,Engineering and engineering trades,511,2021
DC202,Sport Science and Health,DC,Dublin City University,Health,511,2021
DC203,Science Education,DC,Dublin City University,Education,462,2021
DC204,Athletic Therapy and Training,DC,Dublin City University,Health,558,2021
DC205,Physical Education with Biology,DC,Dublin City University,Education,565,2021
DC206,Physical Education with Mathematics,DC,Dublin City University,Education,521,2021
DC207,Psychology and Mathematics,DC,Dublin City University,Social and behavioural sciences,521,2021
DC208,Psychology,DC,Dublin City University,Social and behavioural sciences,565,2021
DC209,Health and Society,DC,Dublin City University,Health,477,2021
DC210,Psychology and Disruptive Technologies,DC,Dublin City University,Social and behavioural sciences,506,2021
DC215,General Nursing,DC,Dublin City University,Health,456,2021
DC216,Mental Health Nursing,DC,Dublin City University,Health,420,2021
DC217,Intellectual Disability Nursing,DC,Dublin City University,Health,382,2021
DC218,Children`s and General Nursing (Integrated),DC,Dublin City University,Health,521,2021
DC230,"Economics, Politics and Law",DC,Dublin City University,Social and behavioural sciences,431,2021
DC231,International Relations,DC,Dublin City University,Social and behavioural sciences,398,2021
DC232,Law and Society (BCL),DC,Dublin City University,Law,469,2021
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC,Dublin City University,Education,302,2021
DC238,Social Sciences and Cultural Innovation,DC,Dublin City University,Humanities (except languages),387,2021
DC240,"Marketing, Innovation and Technology",DC,Dublin City University,Business and administration,499,2021
DC241,Digital Business and Innovation,DC,Dublin City University,Business and administration,509,2021
DC291,Arts (Joint Honours) - Media Studies,DC,Dublin City University,Arts,350,2021
DC292,Arts (Joint Honours) - Law,DC,Dublin City University,Arts,400,2021
DC293,Arts (Joint Honours) - International Languages,DC,Dublin City University,Arts,379,2021
DC294,Climate and Environmental Sustainability,DC,Dublin City University,Environment,475,2021
DC295,Arts (Joint Honours) - Politics,DC,Dublin City University,Arts,349,2021
DL822,Arts Management,DL,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,254,2021
DL823,Business Management,DL,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,220,2021
DL825,Applied Psychology,DL,"Dun Laoghaire Institute of Art, Design and Technology",Social and behavioural sciences,418,2021
DL826,Graphic Design,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,591,2021
DL827,Art,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,574,2021
DL832,Animation,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,989,2021
DL833,Photography and Visual Media,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,671,2021
DL836,Creative Computing,DL,"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),235,2021
DL837,New Media Studies,DL,"Dun Laoghaire Institute of Art, Design and Technology",Humanities (except languages),298,2021
DL838,Creative Music Production,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,713,2021
DL839,Interaction and User Experience Design,DL,"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),757,2021
DL840,Digital Marketing,DL,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,210,2021
DL841,English and Equality Studies,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,277,2021
DL843,Film,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,987,2021
DL844,Television,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,566,2021
DL845,Design for Film (degree options),DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,628,2021
GC200,Business,GC,Griffith College,Business and administration,269,2021
GC201,Accounting and Finance,GC,Griffith College,Business and administration,260,2021
GC230,Computing Science,GC,Griffith College,Information and Communication Technologies (ICTs),300,2021
GC300,Business,GC,Griffith College,Business and administration,264,2021
GC302,Business - HRM,GC,Griffith College,Business and administration,377,2021
GC307,Business (Marketing),GC,Griffith College,Business and administration,289,2021
GC400,Business,GC,Griffith College,Business and administration,250,2021
GC401,Accounting and Finance,GC,Griffith College,Business and administration,242,2021
GC403,Law,GC,Griffith College,Law,245,2021
GC407,Business (Marketing),GC,Griffith College,Business and administration,264,2021
GC430,Computing Science,GC,Griffith College,Information and Communication Technologies (ICTs),251,2021
GC450,Communications and Media Production,GC,Griffith College,Journalism and information,225,2021
GC462,Design Communication (portfolio),GC,Griffith College,Arts,300,2021
GC489,Interior Architecture (portfolio),GC,Griffith College,Arts,288,2021
GC494,Fashion Design (portfolio),GC,Griffith College,Arts,351,2021
BY001,Business,BY,IBAT College Dublin,Business and administration,210,2021
AD101,"First Year Art and Design (Common Entry,portfolio)",AD,National College of Art and Design,Arts,554,2021
AD102,Graphic Design and Moving Image Design (portfolio),AD,National College of Art and Design,Arts,538,2021
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),AD,National College of Art and Design,Arts,505,2021
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",AD,National College of Art and Design,Education,591,2021
AD204,Fine Art (portfolio),AD,National College of Art and Design,Arts,514,2021
AD211,Fashion Design (portfolio),AD,National College of Art and Design,Arts,760,2021
AD212,Product Design (portfolio),AD,National College of Art and Design,Arts,413,2021
AD215,Visual Culture,AD,National College of Art and Design,Arts,337,2021
AD217,Illustration (portfolio),AD,National College of Art and Design,Arts,738,2021
AD222,Interaction Design (portfolio),AD,National College of Art and Design,Information and Communication Technologies (ICTs),444,2021
NC003,Computing (Degree Award options),NC,National College of Ireland (NCI),Information and Communication Technologies (ICTs),271,2021
NC005,Human Resource Management,NC,National College of Ireland (NCI),Business and administration,301,2021
NC009,Business,NC,National College of Ireland (NCI),Business and administration,300,2021
NC010,Psychology,NC,National College of Ireland (NCI),Social and behavioural sciences,420,2021
NC020,Marketing Practice,NC,National College of Ireland (NCI),Business and administration,270,2021
NC022,Accounting and Finance,NC,National College of Ireland (NCI),Business and administration,330,2021
NC023,Technology Management (with specialisations),NC,National College of Ireland (NCI),Information and Communication Technologies (ICTs),266,2021
NC030,Early Childhood Education and Care,NC,National College of Ireland (NCI),Education,251,2021
RC001,Medicine - Undergraduate Entry (HPAT required),RC,RCSI University of Medicine & Health Sciences,Health,741,2021
RC004,Physiotherapy,RC,RCSI University of Medicine & Health Sciences,Health,589,2021
RC005,Pharmacy,RC,RCSI University of Medicine & Health Sciences,Health,613,2021
NM801,Montessori Education,NM,St Nicholas Montessori College Ireland,Education,262,2021
NM802,Psychology,NM,St Nicholas Montessori College Ireland,Social and behavioural sciences,228,2021
TU801,Sustainable Energy Engineering,TU,Technological University Dublin,Environment,235,2021
TU802,Electrical Services and Energy Management,TU,Technological University Dublin,Engineering and engineering trades,309,2021
TU804,Engineering (Common Entry with Award options),TU,Technological University Dublin,Engineering and engineering trades,270,2021
TU805,Engineering (General Entry),TU,Technological University Dublin,Engineering and engineering trades,466,2021
TU807,Computer Engineering in Mobile Systems,TU,Technological University Dublin,Engineering and engineering trades,274,2021
TU810,Mechatronic Engineering,TU,Technological University Dublin,Engineering and engineering trades,271,2021
TU811,Product Design,TU,Technological University Dublin,Arts,440,2021
TU812,"Design,Technology and Innovation",TU,Technological University Dublin,Manufacturing and processing,278,2021
TU814,Sustainable Transport Management,TU,Technological University Dublin,Transport services,253,2021
TU828,Mechanical Engineering (General Entry),TU,Technological University Dublin,Engineering and engineering trades,300,2021
TU829,Electronic Engineering (General Entry),TU,Technological University Dublin,Engineering and engineering trades,248,2021
TU831,Architectural Technology,TU,Technological University Dublin,Architecture and construction,423,2021
TU832,Architecture (Suitability Test and Interview),TU,Technological University Dublin,Architecture and construction,644,2021
