COURSE CODE2,COURSE TITLE,HEI,CATEGORY (i.e.ISCED description),R1 POINTS
WD163,Psychology,Waterford Institute of Technology,Social and behavioural sciences,434
WD186,Sports Coaching and Performance,Waterford Institute of Technology,Personal services,270
WD187,Social Science,Waterford Institute of Technology,Welfare,272
WD191,Agricultural Science,Waterford Institute of Technology,Agriculture,377
WD192,Social Care Practice,Waterford Institute of Technology,Welfare,270
WD193,Marketing and Digital Media,Waterford Institute of Technology,Business and administration,271
WD194,Culinary Arts,Waterford Institute of Technology,Personal services,217
WD195,Architectural and Building Information Modelling Technology,Waterford Institute of Technology,Architecture and construction,279
WD200,Arts (options),Waterford Institute of Technology,Arts,AQA
WD210,Software Systems Development,Waterford Institute of Technology,Information and Communication Technologies (ICTs),279
WD211,Creative Computing,Waterford Institute of Technology,Information and Communication Technologies (ICTs),271
WD212,Recreation and Sport Management,Waterford Institute of Technology,Personal services,270
WD230,Mechanical and Manufacturing Engineering,Waterford Institute of Technology,Engineering and engineering trades,253
