CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
Information and Communication Technologies (ICTs),Software Development,CR016,351,,,,351,,445,7,Cork Institute of Technology,,,
Business and administration,Business (Common Entry),CR021,253,,,,253,,451,7,Cork Institute of Technology,,,
Business and administration,Business Administration,CR022,172,,,,172,,348,7,Cork Institute of Technology,,,
Welfare,Social Care Work,CR031,360,,,,360,,440,7,Cork Institute of Technology,,,
Personal services,Recreation and Leisure Management,CR032,343,,,,343,,422,7,Cork Institute of Technology,,,
Welfare,Community Development,CR035,133,,,,133,,337,7,Cork Institute of Technology,,,
Personal services,Tourism Management,CR041,212,,180,,180,,343,7,Cork Institute of Technology,,avp,
Personal services,Hospitality Management,CR042,205,,,,205,,356,7,Cork Institute of Technology,,,
Transport services,Automotive Technology and Management,CR046,227,,,,227,,368,7,Cork Institute of Technology,,,
Architecture and construction,Civil Engineering,CR051,261,,,,259,,431,7,Cork Institute of Technology,,,
Architecture and construction,Construction,CR052,270,,,,270,,368,7,Cork Institute of Technology,,,
Arts,Interior Architecture,CR053,375,,,,375,,463,7,Cork Institute of Technology,,,
Engineering and engineering trades,Environmental Engineering,CR055,297,,,,297,,476,7,Cork Institute of Technology,,,
Engineering and engineering trades,Electronic Engineering,CR061,300,,,,300,,465,7,Cork Institute of Technology,,,
Engineering and engineering trades,Electrical Engineering,CR062,320,,,,320,,413,7,Cork Institute of Technology,,,
Engineering and engineering trades,Mechanical Engineering,CR071,263,,,,263,,475,7,Cork Institute of Technology,,,
Health,Biomedical Engineering,CR075,315,,,,315,,509,7,Cork Institute of Technology,,,
Architecture and construction,Architectural Technology,CR090,308,,,,308,,475,7,Cork Institute of Technology,,,
Transport services,Nautical Science at National Maritime College of Ireland,CR094,256,,,,256,,404,7,Cork Institute of Technology,,,
Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,234,,,,234,,441,7,Cork Institute of Technology,,,
Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443,,,,443,,532,8,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Development,CR106,431,,,,431,,476,8,Cork Institute of Technology,,,
Engineering and engineering trades,Mechanical Engineering,CR108,434,,,,434,,509,8,Cork Institute of Technology,,,
Architecture and construction,Structural Engineering,CR109,396,,,,396,,465,8,Cork Institute of Technology,,,
Transport services,Automotive Business Management and Technology,CR110,336,,,,336,,388,8,Cork Institute of Technology,,,
Arts,Creative Digital Media at CIT Crawford College of Art and Design,CR112,390,,,,390,,455,8,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),Computer Systems,CR116,365,,,,365,,400,8,Cork Institute of Technology,,,
Arts,Music at CIT Cork School of Music,CR121,904,,904,,904,,1141,8,Cork Institute of Technology,#,avp,
Arts,Popular Music at CIT Cork School of Music,CR125,1028,,,,1028,,1029,8,Cork Institute of Technology,#,avp,
Arts,Musical Theatre at CIT Cork School of Music,CR130,525,,,,525,,600,8,Cork Institute of Technology,#,,
Business and administration,Business Information Systems,CR150,350,,,,350,,409,8,Cork Institute of Technology,,,
