HEI,ISCED,2019,2020,2021,diff19_21,diff%
Dublin Business School,Social and behavioural sciences,219.66666666666666,232.33333333333334,253.33333333333334,33.666666666666686,15.326251896813362
"National University of Ireland, Galway",Information and Communication Technologies (ICTs),429.5,428.5,495.0,65.5,15.250291036088475
University of Limerick,Education,424.2,461.3333333333333,488.8333333333333,64.63333333333333,15.236523652365236
Dublin City University,Languages,371.0,387.0,427.0,56.0,15.09433962264151
St. Angela`s College,Education,425.6666666666667,463.6666666666667,489.6666666666667,64.0,15.03523884103367
National College of Ireland (NCI),Social and behavioural sciences,366.0,400.0,420.0,54.0,14.754098360655737
University College Cork (NUI),Biological and related sciences,469.5,495.5,538.25,68.75,14.643237486687966
Trinity College Dublin,Information and Communication Technologies (ICTs),450.0,481.5,514.0,64.0,14.222222222222221
"National University of Ireland, Galway",Arts,360.5,370.7,411.3,50.80000000000001,14.091539528432737
University College Dublin (NUI),Humanities (except languages),348.0,340.0,397.0,49.0,14.080459770114942
Dublin City University,Health,421.0,456.5,479.375,58.375,13.865795724465556
Dundalk Institute of Technology,Health,349.2,372.6,397.6,48.400000000000034,13.86025200458191
Maynooth University,Social and behavioural sciences,431.3333333333333,455.0,491.0,59.666666666666686,13.833075734157655
"Institute of Technology, Sligo",Languages,279.0,261.0,317.5,38.5,13.799283154121863
"Institute of Technology, Sligo",Personal services,257.5,288.0,293.0,35.5,13.78640776699029
"National University of Ireland, Galway",Biological and related sciences,481.0,501.5,547.25,66.25,13.773388773388772
St. Angela`s College,Biological and related sciences,387.0,408.0,440.0,53.0,13.695090439276486
