CATEGORY,COURSE CODE2,COURSE TITLE,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Engineering and engineering trades,CR095,Marine Engineering at National Maritime College of Ireland,255,,,,255,,389,7,Cork Institute of Technology,,,
Engineering and engineering trades,CR105,Chemical and Biopharmaceutical Engineering,443,,,,443,,532,8,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),CR106,Software Development,411,,,,411,,463,8,Cork Institute of Technology,,,
Engineering and engineering trades,CR108,Mechanical Engineering,434,,,,434,,509,8,Cork Institute of Technology,,,
Architecture and construction,CR109,Structural Engineering,394,,,,394,,423,8,Cork Institute of Technology,,,
Transport services,CR110,Automotive Business Management and Technology,311,,,,311,,362,8,Cork Institute of Technology,,,
Arts,CR112,Creative Digital Media,361,,,,361,,430,8,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),CR116,Computer Systems,332,,,,332,,393,8,Cork Institute of Technology,,,
Arts,CR121,Music at CIT Cork School of Music,868,,,,912,,1078,8,Cork Institute of Technology,#,,
Arts,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,,,,1088,,1088,8,Cork Institute of Technology,#,,
Arts,CR126,Popular Music: Drums at CIT Cork School of Music,801,,,,801,,940,8,Cork Institute of Technology,#,,
Arts,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,,768,,768,,978,8,Cork Institute of Technology,#,,
Arts,CR128,Popular Music: Keyboards at CIT Cork School of Music,840,,,,840,,881,8,Cork Institute of Technology,#,,
Arts,CR129,Popular Music: Voice at CIT Cork School of Music,841,,,,841,,966,8,Cork Institute of Technology,#,,
Arts,CR130,Musical Theatre at CIT Cork School of Music,548,,518,,505,,600,8,Cork Institute of Technology,#,,
Business and administration,CR150,Business Information Systems,335,,,,335,,391,8,Cork Institute of Technology,,,
Arts,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
Arts,CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
Arts,CR225,Photography with New Media,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
Physical sciences,CR300,Physical Sciences (Common Entry),282,,,,282,,476,7,Cork Institute of Technology,,,
Physical sciences,CR305,Physical Sciences (Common Entry),282,,,,282,,356,8,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),CR310,IT Management,297,,,,297,,339,8,Cork Institute of Technology,,,
Biological and related sciences,CR320,Biomedical Science - Offered jointly by CIT and UCC,565,,,,565,,577,8,Cork Institute of Technology,,,
Biological and related sciences,CR325,Pharmaceutical Biotechnology,398,,,,398,,440,8,Cork Institute of Technology,,,
Health,CR333,Nutrition and Health Science,402,,,,402,,433,8,Cork Institute of Technology,,,
Biological and related sciences,CR335,Biological Sciences (Common Entry),420,,,,420,,451,8,Cork Institute of Technology,,,
Physical sciences,CR340,Analytical Chemistry with Quality Assurance,251,,,,251,,366,8,Cork Institute of Technology,,,
Physical sciences,CR360,Instrument Engineering,261,,,,261,,388,8,Cork Institute of Technology,,,
Environment,CR365,Environmental Science and Sustainable Technology,253,,,,253,,341,8,Cork Institute of Technology,,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",CR370,Agri-Biosciences,397,,,,397,,453,8,Cork Institute of Technology,,,
Business and administration,CR400,Accounting,316,,,,316,,413,8,Cork Institute of Technology,,,
Business and administration,CR420,Marketing,285,,,,285,,346,8,Cork Institute of Technology,,,
Business and administration,CR425,International Business with Language,298,,,,298,,412,8,Cork Institute of Technology,,,
Personal services,CR430,Sport and Exercise Management,322,,,,322,,407,8,Cork Institute of Technology,,,
Education,CR440,Montessori Education,288,,,,288,,362,8,Cork Institute of Technology,,,
Engineering and engineering trades,CR500,Engineering (Common Entry),411,,,,411,,465,8,Cork Institute of Technology,,,
Environment,CR510,Sustainable Energy Engineering,320,,,,320,,389,8,Cork Institute of Technology,,,
Health,CR520,Biomedical Engineering,444,,,,444,,488,8,Cork Institute of Technology,,,
Architecture and construction,CR560,Architectural Technology,308,,,,308,,377,8,Cork Institute of Technology,,,
Architecture and construction,CR565,Interior Architecture,359,,,,359,,423,8,Cork Institute of Technology,,,
