CATEGORY,COURSE CODE2,COURSE TITLE,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Social and behavioural sciences,GA364,Heritage Studies,252,,252,,252,,369,6,Galway-Mayo Institute of Technology,,avp,
Personal services,GA370,Hotel and Catering Management,198,,,,198,,362,7,Galway-Mayo Institute of Technology,,avp,
Personal services,GA376,Event Management with Public Relations,206,,187,,187,,348,7,Galway-Mayo Institute of Technology,,avp,
Personal services,GA377,International Tourism Management,172,,,,172,,360,7,Galway-Mayo Institute of Technology,,avp,
Manufacturing and processing,GA378,Culinary and Gastronomic Science,219,,,,219,,432,7,Galway-Mayo Institute of Technology,,,
Personal services,GA380,International Hotel Management,242,,,,242,,330,8,Galway-Mayo Institute of Technology,,,
Personal services,GA381,International Tourism Management,278,,,,278,,350,8,Galway-Mayo Institute of Technology,,,
Manufacturing and processing,GA382,Culinary and Gastronomic Science,206,,,,206,,337,8,Galway-Mayo Institute of Technology,,,
Personal services,GA384,Event Management with Public Relations,212,,,,212,,328,8,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA470,Construction Management,244,,243,,243,,349,7,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA471,Quantity Surveying and Construction Economics,200,,,,200,,347,7,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA472,Architectural Technology,226,,,,226,,367,7,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA473,Civil Engineering,241,,,,241,,432,7,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA480,Construction Management,260,,,,260,,336,8,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA482,Quantity Surveying and Construction Economics,288,,,,288,,350,8,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA483,Architectural Technology,265,,,,265,,337,8,Galway-Mayo Institute of Technology,,,
Architecture and construction,GA484,Civil Engineering,290,,,,290,,383,8,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA570,Software and Electronic Engineering,224,,,,224,,399,7,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA580,Software and Electronic Engineering,300,,,,300,,393,8,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA670,Mechanical Engineering,265,,,,265,,413,7,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA673,Energy Engineering,260,,,,260,,452,7,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA674,Biomedical Engineering,298,,,,298,,455,7,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA675,Agricultural Engineering,298,,,,298,,386,7,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),290,,,,290,,465,7,Galway-Mayo Institute of Technology,,,
Manufacturing and processing,GA677,Manufacturing Engineering Design,235,,,,235,,379,7,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA680,Mechanical Engineering,330,,,,330,,401,8,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA681,Energy Engineering,293,,,,293,,366,8,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA682,Biomedical Engineering,313,,,,313,,393,8,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA683,Agricultural Engineering,309,,,,309,,385,8,Galway-Mayo Institute of Technology,,,
Engineering and engineering trades,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,,,,340,,405,8,Galway-Mayo Institute of Technology,,,
Manufacturing and processing,GA685,Manufacturing Engineering Design,309,,,,309,,379,8,Galway-Mayo Institute of Technology,,,
Biological and related sciences,GA770,Applied Freshwater and Marine Biology,280,,,,280,,388,7,Galway-Mayo Institute of Technology,,,
Biological and related sciences,GA771,Applied Biology and Biopharmaceutical Science,280,,,,280,,465,7,Galway-Mayo Institute of Technology,,,
Environment,GA772,Chemical and Pharmaceutical Science,280,,,,280,,487,7,Galway-Mayo Institute of Technology,,,
Physical sciences,GA773,Physics and Instrumentation,299,,,,299,,521,7,Galway-Mayo Institute of Technology,,,
Biological and related sciences,GA774,Science (Undenominated),289,,,,289,,490,7,Galway-Mayo Institute of Technology,,,
Information and Communication Technologies (ICTs),GA775,Computing in Software Development,260,,,,260,,356,7,Galway-Mayo Institute of Technology,,,
Information and Communication Technologies (ICTs),GA776,Computing and Digital Media,241,,,,241,,381,7,Galway-Mayo Institute of Technology,,,
Agriculture,GA777,Agriculture and Environmental Management,281,,,,281,,393,7,Galway-Mayo Institute of Technology,,,
Biological and related sciences,GA780,Applied Freshwater and Marine Biology,327,,,,327,,377,8,Galway-Mayo Institute of Technology,,,
Biological and related sciences,GA781,Applied Biology and Biopharmaceutical Science,337,,,,337,,390,8,Galway-Mayo Institute of Technology,,,
Environment,GA782,Chemical and Pharmaceutical Science,336,,,,336,,388,8,Galway-Mayo Institute of Technology,,,
Physical sciences,GA783,Physics and Instrumentation,363,,,,363,,408,8,Galway-Mayo Institute of Technology,,,
Biological and related sciences,GA784,Science (Undenominated),372,,,,372,,403,8,Galway-Mayo Institute of Technology,,,
Health,GA785,Medical Science,473,,,,473,,500,8,Galway-Mayo Institute of Technology,,,
Physical sciences,GA786,Forensic Science and Analysis,317,,,,317,,387,8,Galway-Mayo Institute of Technology,,,
Information and Communication Technologies (ICTs),GA787,Computing in Software Development,270,,,,270,,315,8,Galway-Mayo Institute of Technology,,,
Information and Communication Technologies (ICTs),GA788,Computing and Digital Media,274,,,,282,,356,8,Galway-Mayo Institute of Technology,,,
Agriculture,GA789,Agriculture and Environmental Management,287,,,,289,,371,8,Galway-Mayo Institute of Technology,,,
Personal services,GA790,Sport and Exercise Science,356,,,,356,,409,8,Galway-Mayo Institute of Technology,,,
Biological and related sciences,GA791,Public Health Nutrition,368,,,,368,,409,8,Galway-Mayo Institute of Technology,,,
Humanities (except languages),GA862,History & Geography,178,,,,178,,382,6,Galway-Mayo Institute of Technology,,avp,
Education,GA864,Early Childhood Education and Care,214,,204,,204,,357,6,Galway-Mayo Institute of Technology,,avp,
Personal services,GA870,Outdoor Education and Leisure,182,,171,,171,,399,7,Galway-Mayo Institute of Technology,,avp,
Education,GA871,Early Childhood Education and Care,190,,,,190,,367,7,Galway-Mayo Institute of Technology,,,
Social and behavioural sciences,GA872,Culture and Environment,196,,,,196,,328,7,Galway-Mayo Institute of Technology,,avp,
Welfare,GA879,Applied Social Care,244,,,,244,,337,7,Galway-Mayo Institute of Technology,,,
Health,GA880,General Nursing,429,*,422,*,422,*,441,8,Galway-Mayo Institute of Technology,,,
Health,GA882,Psychiatric Nursing,367,,,,367,,377,8,Galway-Mayo Institute of Technology,,,
Personal services,GA885,Outdoor Education,252,,,,252,,262,8,Galway-Mayo Institute of Technology,,avp,
Humanities (except languages),GA887,History and Geography,244,,,,244,,380,8,Galway-Mayo Institute of Technology,,,
Welfare,GA889,Applied Social Care,266,,,,266,,298,8,Galway-Mayo Institute of Technology,,,
Education,GA890,Early Childhood Education and Care,270,,,,270,,327,8,Galway-Mayo Institute of Technology,,,
Environment,GA891,Geography and Outdoor Education,244,,,,244,,391,8,Galway-Mayo Institute of Technology,,avp,
Arts,GA974,"Furniture Design, Making and Technology - Common Entry",214,,,,214,,388,7,Galway-Mayo Institute of Technology,,,
Education,GA980,Education (Design Graphics and Construction),377,,,,377,,411,8,Galway-Mayo Institute of Technology,,,
Arts,GA984,"Furniture Design, Making and Technology - Common Entry",284,,,,284,,369,8,Galway-Mayo Institute of Technology,,,
Business and administration,GB001,Business,,,,,115,,415,7,Galway Business School,,avp,
Business and administration,GC200,Business Studies,252,,252,,252,,369,8,Griffith College,,avp,
Business and administration,GC201,Accounting and Finance,303,,303,,303,,388,8,Griffith College,,avp,
Information and Communication Technologies (ICTs),GC230,Computing Science,335,,325,,325,,393,8,Griffith College,,avp,
Journalism and information,GC250,Communications and Media Production,,,,,,,,8,Griffith College,,avp,
Business and administration,GC300,Business Studies,429,,,,390,,432,8,Griffith College,,avp,
Business and administration,GC301,Accounting & Finance,253,,253,,253,,346,8,Griffith College,,avp,
Business and administration,GC302,Business Studies - HRM,,,,,,,,8,Griffith College,,avp,
Personal services,GC305,International Hospitality Management,253,,253,,253,,253,8,Griffith College,,avp,
Personal services,GC306,International Hospitality Management,253,,253,,253,,253,7,Griffith College,,avp,
Information and Communication Technologies (ICTs),GC335,Computing,217,,195,,195,,235,7,Griffith College,,avp,
Business and administration,GC400,Business Studies,248,,248,,248,,281,8,Griffith College,,avp,
Business and administration,GC401,Accounting and Finance,240,,227,,202,,343,8,Griffith College,,avp,
Business and administration,GC402,Business Studies (HRM),264,,236,,218,,236,8,Griffith College,,avp,
Law,GC403,Law,244,,228,,228,,328,8,Griffith College,,avp,
Business and administration,GC407,Business Studies (Marketing),280,,280,,218,,321,8,Griffith College,,avp,
Business and administration,GC410,Marketing,145,,,,145,,371,7,Griffith College,,avp,
Business and administration,GC411,Business,135,,135,,135,,370,7,Griffith College,,avp,
Information and Communication Technologies (ICTs),GC430,Computing Science,252,,220,,220,,298,8,Griffith College,,avp,
Information and Communication Technologies (ICTs),GC435,Computing,AQA,,AQA,,96,,279,7,Griffith College,,avp,
Journalism and information,GC450,Communications and Media Production,254,,254,,254,,280,8,Griffith College,,avp,
Arts,GC460,Music Production for Games (portfolio),,,,,,,,6,Griffith College,#,avp,
Arts,GC462,Design Communication (portfolio),,,,,,,,8,Griffith College,#,,
Journalism and information,GC465,Communications,AQA,,,,AQA,,349,7,Griffith College,,avp,
Arts,GC466,Film and TV Production,AQA,,AQA,,AQA,,339,7,Griffith College,,avp,
Arts,GC470,Photographic Media,169,,169,,169,,279,7,Griffith College,,avp,
Arts,GC475,Photography,150,,150,,150,,348,6,Griffith College,,avp,
Arts,GC489,Interior Architecture (portfolio),254,,,,254,,301,8,Griffith College,#,avp,
Arts,GC490,Interior Design,117,,117,,117,,360,7,Griffith College,,avp,
Arts,GC494,Fashion Design (portfolio),337,,217,,217,,412,8,Griffith College,#,avp,
Arts,GC495,Fashion,129,,129,,129,,349,7,Griffith College,,avp,
Arts,GY101,Arts (Joint-Honours),300,,,,300,,391,8,"National University of Ireland, Galway",,,
Social and behavioural sciences,GY104,Arts (Psychology),523,,520,,519,,542,8,"National University of Ireland, Galway",,,
Humanities (except languages),GY105,Arts (History),301,,,,301,,377,8,"National University of Ireland, Galway",,,
Languages,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,,,,409,,456,8,"National University of Ireland, Galway",,,
Education,GY109,Arts (Mathematics and Education),403,,,,403,,466,8,"National University of Ireland, Galway",,,
Social and behavioural sciences,GY110,Arts with Children`s Studies,357,,,,357,,418,8,"National University of Ireland, Galway",,,
Arts,GY111,Arts with Creative Writing,330,,,,330,,492,8,"National University of Ireland, Galway",,,
Arts,GY112,Arts with Film Studies,321,,,,321,,399,8,"National University of Ireland, Galway",,,
Social and behavioural sciences,GY113,Arts with Human Rights,368,,,,368,,422,8,"National University of Ireland, Galway",,,
Arts,GY115,Arts with Performing Arts Studies,387,,,,387,,443,8,"National University of Ireland, Galway",,,
Arts,GY118,"Arts (Drama, Theatre and Performance Studies)",451,,,,451,,492,8,"National University of Ireland, Galway",,,
Journalism and information,GY119,Arts (Journalism),400,,,,400,,465,8,"National University of Ireland, Galway",,,
Social and behavioural sciences,GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,,,,350,,397,8,"National University of Ireland, Galway",,,
Social and behavioural sciences,GY121,Arts (Children`s Studies),356,,,,356,,419,8,"National University of Ireland, Galway",,,
Arts,GY122,Na Dána (Cumarsáid agus Gaeilge),361,,,,361,,453,8,"National University of Ireland, Galway",,,
Social and behavioural sciences,GY123,Applied Social Sciences,358,,,,358,,410,8,"National University of Ireland, Galway",,,
Information and Communication Technologies (ICTs),GY124,Arts (Arts with Data Science),454,,,,454,,490,8,"National University of Ireland, Galway",,,
Arts,GY125,Arts (Digital Arts and Technology),328,,,,328,,347,8,"National University of Ireland, Galway",,,
Languages,GY126,Arts (English and Media Studies),391,,,,391,,462,8,"National University of Ireland, Galway",,,
Arts,GY127,Arts (Film and Digital Media),401,,,,401,,462,8,"National University of Ireland, Galway",,,
Languages,GY128,Arts (Global Languages),352,,,,352,,476,8,"National University of Ireland, Galway",,,
Arts,GY129,Arts (International),420,,,,420,,462,8,"National University of Ireland, Galway",,,
Arts,GY130,Arts (Music),408,,,,408,,495,8,"National University of Ireland, Galway",,,
Humanities (except languages),GY131,Arts (History and Globalisation Studies),360,,,,360,,440,8,"National University of Ireland, Galway",,,
Social and behavioural sciences,GY132,"Government (Politics, Economics and Law)",407,,,,407,,435,8,"National University of Ireland, Galway",,,
Education,GY133,Education (Computer Science and Mathematical Studies),422,,,,422,,498,8,"National University of Ireland, Galway",,,
Physical sciences,GY134,Geography and Geosystems,410,,,,410,,445,8,"National University of Ireland, Galway",,,
Business and administration,GY201,Commerce,433,,,,433,,466,8,"National University of Ireland, Galway",,,
Business and administration,GY202,Commerce (International) with French,484,,,,484,,511,8,"National University of Ireland, Galway",,,
Business and administration,GY203,Commerce (International) with German,489,,,,489,,566,8,"National University of Ireland, Galway",,,
Business and administration,GY204,Commerce (International) with Spanish,495,,,,495,,511,8,"National University of Ireland, Galway",,,
Business and administration,GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,,,,465,,488,8,"National University of Ireland, Galway",,,
Business and administration,GY207,Commerce (Accounting) including optional Global Experience year,509,,,,509,,543,8,"National University of Ireland, Galway",,,
Business and administration,GY208,Commerce (Gaeilge),473,,,,473,,511,8,"National University of Ireland, Galway",,,
Business and administration,GY209,Commerce (Global Experience),530,,,,530,,554,8,"National University of Ireland, Galway",,,
Law,GY250,Law and Business,487,,,,487,,510,8,"National University of Ireland, Galway",,,
Law,GY251,Law (BCL),499,,,,499,,518,8,"National University of Ireland, Galway",,,
Law,GY252,Law (BCL) and Human Rights,520,,,,520,,541,8,"National University of Ireland, Galway",,,
Law,GY253,Law and Taxation,509,,,,509,,543,8,"National University of Ireland, Galway",,,
Law,GY254,"Law (BCL), Criminology and Criminal Justice",530,,,,530,,554,8,"National University of Ireland, Galway",,,
Business and administration,GY261,"Business Studies (International Hotel Management, interview)",497,,,,497,,611,8,"National University of Ireland, Galway",#,,
Business and administration,GY262,"Commerce (International Hotel Management, interview)",681,,,,681,,724,8,"National University of Ireland, Galway",#,,
Biological and related sciences,GY301,Science,433,,432,,432,,487,8,"National University of Ireland, Galway",,,
Biological and related sciences,GY303,Biomedical Science,556,,,,556,,589,8,"National University of Ireland, Galway",,,
Engineering and engineering trades,GY304,Biotechnology,465,,,,465,,498,8,"National University of Ireland, Galway",,,
Environment,GY308,Environmental Science,408,,,,408,,484,8,"National University of Ireland, Galway",,,
Mathematics and statistics,GY309,Financial Mathematics and Economics,487,,,,487,,532,8,"National University of Ireland, Galway",,,
Physical sciences,GY310,Marine Science,419,,,,419,,476,8,"National University of Ireland, Galway",,,
Hygiene and occupational health services,GY313,Environmental Health and Safety,412,,,,412,,440,8,"National University of Ireland, Galway",,,
Physical sciences,GY314,Earth and Ocean Sciences,403,,,,403,,444,8,"National University of Ireland, Galway",,,
Biological and related sciences,GY318,Biopharmaceutical Chemistry,509,,,,509,,542,8,"National University of Ireland, Galway",,,
Mathematics and statistics,GY319,Mathematical Science,476,,,,476,,566,8,"National University of Ireland, Galway",,,
Physical sciences,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,,,,402,,478,8,"National University of Ireland, Galway",,,
Biological and related sciences,GY321,Genetics and Genomics,508,,,,508,,532,8,"National University of Ireland, Galway",,,
Information and Communication Technologies (ICTs),GY350,Computer Science and Information Technology,403,,,,403,,454,8,"National University of Ireland, Galway",,,
Engineering and engineering trades,GY401,Engineering (Undenominated),465,,,,465,,511,8,"National University of Ireland, Galway",,,
Architecture and construction,GY402,Civil Engineering,455,,,,455,,499,8,"National University of Ireland, Galway",,,
Engineering and engineering trades,GY405,Mechanical Engineering,454,,,,454,,509,8,"National University of Ireland, Galway",,,
Engineering and engineering trades,GY406,Electronic and Computer Engineering,510,,,,510,,544,8,"National University of Ireland, Galway",,,
Engineering and engineering trades,GY408,Biomedical Engineering,509,,,,509,,554,8,"National University of Ireland, Galway",,,
Architecture and construction,GY410,Project and Construction Management,403,,,,403,,456,8,"National University of Ireland, Galway",,,
Engineering and engineering trades,GY413,Energy Systems Engineering,502,,,,502,,531,8,"National University of Ireland, Galway",,,
Engineering and engineering trades,GY414,Electrical and Electronic Engineering,405,,,,405,,429,8,"National University of Ireland, Galway",,,
Health,GY501,"Medicine (five year/six year course, HPAT required)",728,*,,,728,,731,8,"National University of Ireland, Galway",#,,
Health,GY502,Occupational Therapy,555,,,,555,,567,8,"National University of Ireland, Galway",,,
Health,GY503,Speech and Language Therapy,543,,,,543,,554,8,"National University of Ireland, Galway",,,
Health,GY504,Podiatric Medicine,443,,,,443,,476,8,"National University of Ireland, Galway",,,
Health,GY515,General Nursing (Galway and Portiuncula),476,,473,,473,,496,8,"National University of Ireland, Galway",,,
Health,GY516,Mental Health Nursing,440,,,,440,,467,8,"National University of Ireland, Galway",,,
Health,GY517,Midwifery,495,,,,495,,518,8,"National University of Ireland, Galway",,,
Business and administration,ID001,Accounting and Finance,203,,,,203,,253,8,ICD Business School,,avp,
Business and administration,ID002,Business Studies,294,,,,294,,309,8,ICD Business School,,avp,
Arts,LC110,"Art and Design (Common Entry, portfolio)",740,,,,740,,961,8,Limerick Institute of Technology,#,,
Arts,LC114,Fashion and Textiles for Product and Costume (portfolio),880,,,,880,,1029,8,Limerick Institute of Technology,#,,
Education,LC115,Art and Design Teacher Education (portfolio),942,,,,942,,1013,8,Limerick Institute of Technology,#,,
Business and administration,LC220,Digital Marketing,262,,,,262,,298,8,Limerick Institute of Technology,,,
Business and administration,LC221,Accounting and Finance,241,,,,251,,489,6,Limerick Institute of Technology,,,
Business and administration,LC222,Marketing and Management,270,,,,270,,405,6,Limerick Institute of Technology,,,
Law,LC223,Law and Taxation,307,,,,307,,356,8,Limerick Institute of Technology,,,
Business and administration,LC224,Accounting and Finance,300,,,,300,,371,8,Limerick Institute of Technology,,,
Business and administration,LC225,Marketing and Management,298,,,,298,,358,8,Limerick Institute of Technology,,,
Business and administration,LC226,Enterprise and Innovation,234,,234,,234,,310,8,Limerick Institute of Technology,,avp,
Personal services,LC228,Sports Development and Coaching,205,,,,205,,341,6,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC230,Business with Computing,217,,,,217,,386,7,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC233,Software Development,272,,,,272,,339,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC234,Interactive Digital Media,225,,,,225,,307,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC235,Internet Systems Development,205,,,,205,,315,7,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC236,Internet Systems Development,262,,260,,260,,272,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC239,Computer Networks and Systems Management,307,,,,309,,371,8,Limerick Institute of Technology,,,
Architecture and construction,LC241,Construction Management,255,,,,255,,338,8,Limerick Institute of Technology,,,
Architecture and construction,LC242,Property Valuation and Management,282,,,,282,,320,8,Limerick Institute of Technology,,,
Architecture and construction,LC243,Quantity Surveying,294,,,,298,,362,8,Limerick Institute of Technology,,,
Architecture and construction,LC248,Built Environment (Common Entry),288,,,,288,,376,8,Limerick Institute of Technology,,,
Architecture and construction,LC251,Civil Engineering,206,,,,206,,377,7,Limerick Institute of Technology,,,
Architecture and construction,LC252,Civil Engineering Management,270,,,,270,,308,8,Limerick Institute of Technology,,,
Arts,LC257,Interior Design,264,,,,264,,378,7,Limerick Institute of Technology,,,
Biological and related sciences,LC260,Applied Biology,326,,,,326,,466,7,Limerick Institute of Technology,,,
Health,LC263,Clinical Technology,294,,,,294,,359,8,Limerick Institute of Technology,,,
Physical sciences,LC265,Forensic and Pharmaceutical Sciences,413,,,,413,,476,8,Limerick Institute of Technology,,,
Environment,LC266,Drug and Medicinal Product Analysis,262,,,,262,,300,8,Limerick Institute of Technology,,,
Physical sciences,LC267,Forensic and Pharmaceutical Sciences,329,,,,329,,443,7,Limerick Institute of Technology,,,
Health,LC268,Medical Technology,289,,,,289,,411,7,Limerick Institute of Technology,,,
Arts,LC270,Music Technology and Production,307,,,,307,,398,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC271,Electrical Engineering,261,,,,261,,348,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC275,Electrical Engineering,298,,,,298,,384,8,Limerick Institute of Technology,,,
Arts,LC276,Creative Broadcast and Film Production,297,,,,297,,409,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC277,Industrial Automation and Robotic Systems,232,,,,232,,342,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC278,Renewable and Electrical Energy Engineering,280,,,,280,,387,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC279,Electronic Engineering,214,,,,226,,392,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC281,Automobile Technology,208,,,,208,,332,6,Limerick Institute of Technology,,,
Engineering and engineering trades,LC283,Precision Engineering,227,,,,233,,296,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",200,,,,200,,315,6,Limerick Institute of Technology,,,
Engineering and engineering trades,LC285,Mechanical Engineering,272,,,,272,,455,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC286,Road Transport Technology and Management,264,,,,264,,360,7,Limerick Institute of Technology,,,
Engineering and engineering trades,LC288,Mechanical Engineering,347,,346,,346,,415,8,Limerick Institute of Technology,,,
Engineering and engineering trades,LC289,Precision Engineering,291,,,,291,,350,8,Limerick Institute of Technology,,,
Personal services,LC290,Community Sport Development,188,,,,188,,312,7,Limerick Institute of Technology,,,
Welfare,LC292,Social Care Work,367,,,,367,,389,8,Limerick Institute of Technology,,,
Personal services,LC293,Business Studies with Travel and Tourism Management,307,,,,307,,356,8,Limerick Institute of Technology,,,
Personal services,LC294,Business Studies with Event Management,279,,,,279,,347,8,Limerick Institute of Technology,,,
Business and administration,LC295,Business Studies with Sports Management,252,,,,252,,313,8,Limerick Institute of Technology,,,
Social and behavioural sciences,LC297,Community Development,235,,,,235,,298,8,Limerick Institute of Technology,,,
Business and administration,LC320,Business,346,,,,346,,388,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC330,Business with Computing,297,,,,297,,378,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC336,Computing,207,,,,222,,337,7,Limerick Institute of Technology,,,
Arts,LC340,Interior Design,350,,,,350,,391,8,Limerick Institute of Technology,,,
Biological and related sciences,LC362,Biotechnology and Biopharmaceutical Sciences,413,,,,413,,440,8,Limerick Institute of Technology,,,
Arts,LC371,Creative Broadcast and Film Production,309,,,,309,,378,8,Limerick Institute of Technology,,,
Arts,LC372,Music Technology and Production,325,,,,325,,402,8,Limerick Institute of Technology,,,
Engineering and engineering trades,LC374,Renewable and Electrical Energy Engineering,318,,,,318,,410,8,Limerick Institute of Technology,,,
Engineering and engineering trades,LC375,Industrial Automation and Robotic Systems,317,,,,317,,392,8,Limerick Institute of Technology,,,
Engineering and engineering trades,LC376,Electronic Engineering,318,,,,318,,358,8,Limerick Institute of Technology,,,
Transport services,LC380,Automotive Engineering and Transport Management,303,,298,,298,,337,8,Limerick Institute of Technology,,,
Personal services,LC392,Business Studies in Beauty and Spa Management,236,,,,236,,328,8,Limerick Institute of Technology,,,
Welfare,LC393,Early Childhood Education and Care,236,,,,236,,307,8,Limerick Institute of Technology,,,
Personal services,LC398,Culinary Arts,163,,,,163,,376,7,Limerick Institute of Technology,,,
Personal services,LC399,Hospitality Supervision,148,,,,148,,300,7,Limerick Institute of Technology,,,
Welfare,LC401,Early Childhood Education and Care,297,,,,297,,298,8,Limerick Institute of Technology,,,
Welfare,LC402,Social Care Work,225,,,,225,,288,8,Limerick Institute of Technology,,,
Environment,LC408,Environmental Science and Climate,279,,,,279,,348,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC414,Data Analytics and Cyber Security,236,,,,236,,336,8,Limerick Institute of Technology,,,
Business and administration,LC415,Business,197,,,,197,,444,7,Limerick Institute of Technology,,,
Business and administration,LC416,Business,274,,,,274,,391,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC418,Computing - Games Design and Development,270,,,,270,,338,8,Limerick Institute of Technology,,,
Personal services,LC422,Sports Strength and Conditioning,298,,,,298,,347,8,Limerick Institute of Technology,,,
Personal services,LC423,Sports Strength and Conditioning,157,,,,157,,330,7,Limerick Institute of Technology,,,
Environment,LC425,Environmental Science,278,,,,278,,399,7,Limerick Institute of Technology,,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",LC428,Environmental Science and Agriculture,278,,,,278,,429,7,Limerick Institute of Technology,,,
Welfare,LC432,Early Childhood Education and Care,144,,,,144,,367,7,Limerick Institute of Technology,,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",LC434,Environmental Science and Agriculture,297,,,,297,,349,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC502,Game Art and Design (portfolio),852,,,,852,,1024,8,Limerick Institute of Technology,#,,
Information and Communication Technologies (ICTs),LC504,Creative Media and Design,192,,,,192,,378,7,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC517,Creative Media and Design,234,,,,234,,327,8,Limerick Institute of Technology,,,
Information and Communication Technologies (ICTs),LC518,Digital Animation Production (portfolio),808,,,,808,,939,8,Limerick Institute of Technology,#,,
Welfare,LC602,Social Care Work,260,,,,260,,370,7,Limerick Institute of Technology,,,
Welfare,LC603,Early Childhood Education and Care,147,,,,174,,327,7,Limerick Institute of Technology,,,
Business and administration,LC605,Business,195,,,,195,,418,7,Limerick Institute of Technology,,,
Welfare,LC612,Social Care Work,320,,,,320,,343,8,Limerick Institute of Technology,,,
Welfare,LC613,Early Childhood Education and Care,242,,,,242,,327,8,Limerick Institute of Technology,,,
Humanities (except languages),LM002,Arts,348,,,,348,,410,8,University of Limerick,,,
Law,LM020,Law and Accounting,465,,,,465,,499,8,University of Limerick,,,
Arts,LM026,Performing Arts (audition required),303,,,,303,,401,8,University of Limerick,#,,
Law,LM028,Criminal Justice,418,,,,418,,440,8,University of Limerick,,,
Law,LM029,Law Plus,490,,,,490,,521,8,University of Limerick,,,
Social and behavioural sciences,LM038,Psychology and Sociology,500,,,,500,,507,8,University of Limerick,,,
Journalism and information,LM039,Journalism and Digital Communication,402,,,,402,,455,8,University of Limerick,,,
Humanities (except languages),LM040,European Studies,369,,,,369,,488,8,University of Limerick,,,
Languages,LM044,Applied Languages,442,,,,442,,499,8,University of Limerick,,,
Business and administration,LM050,Business Studies (options),431,,,,431,,476,8,University of Limerick,,,
Business and administration,LM056,International Business,528,,,,528,,555,8,University of Limerick,,,
Mathematics and statistics,LM058,Financial Mathematics,403,,,,403,,521,8,University of Limerick,,,
Information and Communication Technologies (ICTs),LM063,Technology Management,379,,,,379,,419,8,University of Limerick,,,
Manufacturing and processing,LM068,Food Science and Health,421,,,,421,,454,8,University of Limerick,,,
Manufacturing and processing,LM076,Product Design and Technology (portfolio required),408,,,,408,,487,8,University of Limerick,#,,
Engineering and engineering trades,LM077,Aeronautical Engineering,520,,,,520,,554,8,University of Limerick,,,
Manufacturing and processing,LM082,Construction Management and Engineering,398,,,,398,,434,8,University of Limerick,,,
Personal services,LM089,Sport and Exercise Sciences,474,,,,474,,489,8,University of Limerick,,,
Education,LM090,Physical Education with concurrent Teacher Education,532,*,,,532,*,565,8,University of Limerick,,,
