Course Code,Institution,INSTITUTION,EOS,Mid
DC123,Dublin City University,Data Science,467,511
DC126,Dublin City University,Actuarial Mathematics,520,543
DC127,Dublin City University,Common Entry into Actuarial and Financial Mathematics,509,531
DC131,Dublin City University,Communication Studies,400,441
DC132,Dublin City University,Journalism,401,440
DC133,Dublin City University,Multimedia,403,451
DC155,Dublin City University,Applied Language and Translation Studies,371,430
DC161,Dublin City University,Analytical Science,446,463
DC162,Dublin City University,Chemical and Pharmaceutical Sciences,488,498
DC166,Dublin City University,Environmental Science and Technology,412,442
DC167,Dublin City University,Physics with Astronomy,434,477
DC168,Dublin City University,Genetics and Cell Biology,489,500
DC171,Dublin City University,Applied Physics,402,433
DC173,Dublin City University,Physics with Biomedical Sciences,402,458
DC181,Dublin City University,Biotechnology,476,488
DC190,Dublin City University,Electronic and Computer Engineering (with choice of four majors),391,433
DC193,Dublin City University,Mechatronic Engineering,404,445
DC195,Dublin City University,Mechanical and Manufacturing Engineering,401,444
DC197,Dublin City University,Biomedical Engineering,402,446
DC200,Dublin City University,Common Entry into Engineering (Undenominated Entry),381,444
DC201,Dublin City University,Common Entry into Science (Undenominated Entry),454,477
DC202,Dublin City University,Sport Science and Health,467,476
DC203,Dublin City University,Science Education,424,476
DC204,Dublin City University,Athletic Therapy and Training,484,500
DC205,Dublin City University,Physical Education with Biology,490,521
DC206,Dublin City University,Physical Education with Mathematics,443,476
DC208,Dublin City University,Psychology,509,521
DC209,Dublin City University,Health and Society,419,440
DC215,Dublin City University,General Nursing,414,443
DC216,Dublin City University,Mental Health Nursing,368,389
DC217,Dublin City University,Intellectual Disability Nursing,347,362
DC218,Dublin City University,Children`s and General Nursing (Integrated),467,480
DC230,Dublin City University,"Economics, Politics and Law",400,431
DC231,Dublin City University,International Relations,387,445
DC232,Dublin City University,Law and Society (BCL),453,487
DC235,Dublin City University,Education and Training - Daytime Delivery Mode (full-time),307,327
DC238,Dublin City University,Social Sciences and Cultural Innovation,358,388
DC240,Dublin City University,"Marketing, Innovation and Technology",451,474
DC291,Dublin City University,Arts (Joint Honours) - Media Studies,349,392
DC292,Dublin City University,Arts (Joint Honours) - Law,356,388
DC293,Dublin City University,Arts (Joint Honours) - International Languages,369,400
DC295,Dublin City University,Arts (Joint Honours) - Politics,348,387
DT001,Technological University Dublin City Campus,Product Design,433,464
DT028,Technological University Dublin City Campus,Transport Operations and Technology,279,348
DT035,Technological University Dublin City Campus,Electrical Services and Energy Management,293,340
DT066,Technological University Dublin City Campus,Engineering (General Entry),400,457
DT101,Technological University Dublin City Campus,Architecture (test and interview),#618,647
DT106,Technological University Dublin City Campus,Planning and Environmental Management,312,337
DT110,Technological University Dublin City Campus,Property Economics (Valuation Surveying),367,424
DT111,Technological University Dublin City Campus,Quantity Surveying and Construction Economics,391,421
DT112,Technological University Dublin City Campus,Geographic Science,287,335
DT117,Technological University Dublin City Campus,Construction Management,356,373
DT175,Technological University Dublin City Campus,Architectural Technology,388,425
DT201,Technological University Dublin City Campus,Science (General Entry),464,477
DT203,Technological University Dublin City Campus,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403
DT204,Technological University Dublin City Campus,Biomedical Science,501,512
DT205,Technological University Dublin City Campus,Mathematical Sciences,315,363
DT206,Technological University Dublin City Campus,Biomedical and Molecular Diagnostics,473,487
DT211,Technological University Dublin City Campus,Computer Science (Infrastructure),381,414
DT220,Technological University Dublin City Campus,Industrial Mathematics,300,317
DT221,Technological University Dublin City Campus,Physics with Energy and Environment,348,436
DT222,Technological University Dublin City Campus,Physics Technology,321,371
DT223,Technological University Dublin City Campus,Human Nutrition and Dietetics,553,566
DT224,Technological University Dublin City Campus,Optometry,487,529
DT225,Technological University Dublin City Campus,Public Health Nutrition,440,476
DT227,Technological University Dublin City Campus,Science with Nanotechnology,312,361
DT228,Technological University Dublin City Campus,Computer Science,451,466
DT229,Technological University Dublin City Campus,Clinical Measurement Science,491,509
DT235,Technological University Dublin City Campus,Physics with Medical Physics and Bioengineering,357,403
DT282,Technological University Dublin City Campus,Computer Science (International),377,402
DT299,Technological University Dublin City Campus,Chemical Sciences with Medicinal Chemistry,420,445
DT302,Technological University Dublin City Campus,Business Analytics,325,403
DT304,Technological University Dublin City Campus,E-Commerce in Retailing,341,388
DT321,Technological University Dublin City Campus,Business and Law,462,478
DT341,Technological University Dublin City Campus,Marketing,400,419
DT343,Technological University Dublin City Campus,Retail and Services Management,301,332
DT354,Technological University Dublin City Campus,Business Computing,322,341
DT358,Technological University Dublin City Campus,Logistics and Supply Chain Management,300,359
DT365,Technological University Dublin City Campus,Business and Management,440,456
DT366,Technological University Dublin City Campus,Accounting and Finance,432,454
DT398,Technological University Dublin City Campus,Human Resource Management,375,388
DT399,Technological University Dublin City Campus,Economics and Finance,437,465
DT401,Technological University Dublin City Campus,International Hospitality Management,300,337
DT405,Technological University Dublin City Campus,Culinary Science,308,377
DT407,Technological University Dublin City Campus,Culinary Arts,271,342
DT412,Technological University Dublin City Campus,Tourism Marketing,284,322
DT413,Technological University Dublin City Campus,Event Management,356,389
DT416,Technological University Dublin City Campus,Culinary Entrepreneurship,275,339
DT420,Technological University Dublin City Campus,Nutraceuticals in Health and Nutrition,392,432
DT421,Technological University Dublin City Campus,Food Innovation,321,366
DT422,Technological University Dublin City Campus,Pharmaceutical Healthcare,397,423
DT491,Technological University Dublin City Campus,Environmental Health,343,380
DT501,Technological University Dublin City Campus,Music,#383,520
DT504,Technological University Dublin City Campus,Film and Broadcasting,443,467
DT506,Technological University Dublin City Campus,Commercial Modern Music,#468,835
DT508,Technological University Dublin City Campus,Game Design,403,454
DT517,Technological University Dublin City Campus,Languages and English Studies,326,419
DT518,Technological University Dublin City Campus,Languages and International Tourism,307,357
DT529,Technological University Dublin City Campus,Drama (Performance),#371,519
DT532,Technological University Dublin City Campus,Law (LL.B.),422,441
DT533,Technological University Dublin City Campus,Contemporary Visual Culture,#,
DT544,Technological University Dublin City Campus,Interior Design,#552,866
DT545,Technological University Dublin City Campus,Design - Visual Communication,#667,897
DT546,Technological University Dublin City Campus,Fine Art,#668,813
DT555,Technological University Dublin City Campus,International Business and Languages,353,399
DT559,Technological University Dublin City Campus,Photography,#700,926
DT571,Technological University Dublin City Campus,Social Care,394,424
DT572,Technological University Dublin City Campus,Early Childhood Education,385,403
DT582,Technological University Dublin City Campus,Journalism,347,373
DT596,Technological University Dublin City Campus,Print Media Technology and Management,252,311
DT597,Technological University Dublin City Campus,Creative and Cultural Industries,280,369
DL821,"Dun Laoghaire Institute of Art, Design and Technology","English, Media and Cultural Studies",211,317
DL822,"Dun Laoghaire Institute of Art, Design and Technology",Arts Management,209,319
DL823,"Dun Laoghaire Institute of Art, Design and Technology",Business Studies - Entrepreneurship and Management,260,316
DL825,"Dun Laoghaire Institute of Art, Design and Technology",Applied Psychology,349,413
DL826,"Dun Laoghaire Institute of Art, Design and Technology",Visual Communication Design,#736,989
DL827,"Dun Laoghaire Institute of Art, Design and Technology",Art,#583,902
DL828,"Dun Laoghaire Institute of Art, Design and Technology","3D Design, Modelmaking and Digital Art",#691,866
DL829,"Dun Laoghaire Institute of Art, Design and Technology",Design for Stage and Screen (Costume Design),#817,1021
DL830,"Dun Laoghaire Institute of Art, Design and Technology",Design for Stage and Screen (Makeup Design),#879,953
DL831,"Dun Laoghaire Institute of Art, Design and Technology",Design for Stage and Screen (Production Design),#893,1073
DL832,"Dun Laoghaire Institute of Art, Design and Technology",Animation,#855,1055
DL833,"Dun Laoghaire Institute of Art, Design and Technology",Photography,#636,791
DL834,"Dun Laoghaire Institute of Art, Design and Technology",Film and Television Production,#933,1011
DL835,"Dun Laoghaire Institute of Art, Design and Technology",Creative Media Technologies,237,289
DL836,"Dun Laoghaire Institute of Art, Design and Technology",Creative Computing,217,326
DL837,"Dun Laoghaire Institute of Art, Design and Technology",New Media Studies,290,349
DL838,"Dun Laoghaire Institute of Art, Design and Technology",Creative Music Production,#746,873
GC200,Griffith College,Business Studies (Cork),269,359
GC201,Griffith College,Accounting and Finance (Cork),251,388
GC230,Griffith College,Computing Science (Cork),228,327
GC300,Griffith College,Business Studies (Limerick),251,302
GC301,Griffith College,Accounting and Finance,307,314
GC302,Griffith College,"Business Studies - (HRM, Limerick)",269,269
